Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 2),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 2),Unit Price (@ Batch Size: 2),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 2) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
1,VJ0805Y104JXAAT,Vishay,VJ0805Y104JXAAT,https://octopart.com/vj0805y104jxaat-vishay-39693542,0805 100n,,Filtering,2,720-2029-2-ND,VJ0805Y104JXAAT,Tape & Reel,,,0.3225348,30000,42210,3000,1,https://octopart.com/click/track?ak=39ac400e&sig=0a00a00&sid=459&ppid=39693542&vpid=510674482&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0b649af&sid=2401&ppid=39693542&vpid=115161078&ct=offers,"Arrow Electronics, Inc.",VJ0805Y104JXAAT,Cut Tape,0.3180999465,0.3180999465,0.636199893,20642,1,https://octopart.com/click/track?ak=39ac400e&sig=03cc368&sid=1106&ppid=39693542&vpid=473543431&ct=offers,
1,08055C474KAT2A,AVX,08055C474KAT2A,https://octopart.com/08055c474kat2a-avx-42271563,0805 470nF,,Filtering,2,478-5033-1-ND,08055C474KAT2A,Cut Tape,,0.7122643500000001,0.7794591,77121,53671,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0d24ca3&sid=459&ppid=42271563&vpid=115102700&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0b0fd27&sid=2401&ppid=42271563&vpid=115156370&ct=offers,Voyager Components,08055C474KAT2A,,0.13438950000000002,0.13438950000000002,0.26877900000000005,1714,1,https://octopart.com/click/track?ak=39ac400e&sig=00a3905&sid=2424&ppid=42271563&vpid=502929460&ct=offers,
1,LTC1069-6CS8#PBF,Analog Devices,LTC1069-6CS8#PBF,https://octopart.com/ltc1069-6cs8%23pbf-analog+devices-88316837,SOIC-8 LTC1069,,Filtering,2,LTC1069-6CS8#PBF-ND,LTC1069-6CS8#PBF,Tube,Tube,15.629498850000001,15.60262095,393,247,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0b38aa6&sid=459&ppid=88316837&vpid=1103434&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=07a81e9&sid=2401&ppid=88316837&vpid=457795264&ct=offers,Quest,LTC1069-6CS8#PBF,,10.0792125,10.0792125,20.158425,68,1,https://octopart.com/click/track?ak=39ac400e&sig=0a7e088&sid=2412&ppid=88316837&vpid=91958615&ct=offers,
4,CR0805-FX-1001ELF,Bourns,CR0805-FX-1001ELF,https://octopart.com/cr0805-fx-1001elf-bourns-2326688,0805 1k,,Filtering,8,CR0805-FX-1001ELFCT-ND,CR0805-FX-1001ELF,Cut Tape,,0.13438950000000002,0.13438950000000002,424662,330312,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0cc71ee&sid=459&ppid=2326688&vpid=54325037&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0cf3af9&sid=2401&ppid=2326688&vpid=37772571&ct=offers,Quest,CR0805-FX-1001ELF,,0.043004640000000004,0.17201856000000001,0.34403712000000003,36840,1,https://octopart.com/click/track?ak=39ac400e&sig=04d3e1f&sid=2412&ppid=2326688&vpid=11307886&ct=offers,
4,RP73PF2A332RBTDF,TE Connectivity,RP73PF2A332RBTDF,https://octopart.com/rp73pf2a332rbtdf-te+connectivity-45466805,0805 330Ohm,,USB Host,8,,RP73PF2A332RBTDF,,,,0.4838022,,1026,,1,,https://octopart.com/click/track?ak=39ac400e&sig=0428a62&sid=2401&ppid=45466805&vpid=458887006&ct=offers,Newark,24W7500,Cut Tape,0.479,1.916,3.832,736,1,https://octopart.com/click/track?ak=39ac400e&sig=0067a98&sid=2402&ppid=45466805&vpid=208336644&ct=offers,
1,FT232RL-REEL,FTDI,FT232RL-REEL,https://octopart.com/ft232rl-reel-ftdi-19172117,FTDI,,USB Host,2,768-1007-1-ND,FT232RL-REEL,Cut Tape,,6.0475275,6.0475275,151031,120034,1,1,https://octopart.com/click/track?ak=39ac400e&sig=015100a&sid=459&ppid=19172117&vpid=34427626&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0daa406&sid=2401&ppid=19172117&vpid=37695958&ct=offers,SOS electronic,FT232 RL-REEL,,5.427174337367238,5.427174337367238,10.854348674734476,0,1,https://octopart.com/click/track?ak=39ac400e&sig=03bfa0c&sid=26036&ppid=19172117&vpid=227383379&ct=offers,
1,48037-1000,Molex,48037-1000,https://octopart.com/48037-1000-molex-314309,USB A Male Recepticle,,USB Host,2,WM17118-ND,48037-1000,Tray,Tray,1.67986875,1.57235715,15848,32714,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c7a501&sid=459&ppid=314309&vpid=114456788&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=00cbfd2&sid=2401&ppid=314309&vpid=114377129&ct=offers,Heilind Electronics,MOL48037-1000,,0.9980973775499999,0.9980973775499999,1.9961947550999999,6422,1,https://octopart.com/click/track?ak=39ac400e&sig=0a25b07&sid=8539&ppid=314309&vpid=30147344&ct=offers,
2,SML-210DTT86,Rohm,SML-210DTT86,https://octopart.com/sml-210dtt86-rohm-550726,0805 Orange LED x2,,USB Host,4,511-1284-1-ND,SML-210DTT86,Cut Tape,,0.52411905,0.63163065,25983,1503,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0bb6fcc&sid=459&ppid=550726&vpid=2121718&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=03bf757&sid=2401&ppid=550726&vpid=44803197&ct=offers,Quest,SML-210DTT86,,0.30237637500000003,0.6047527500000001,1.2095055000000001,4717,1,https://octopart.com/click/track?ak=39ac400e&sig=0616c82&sid=2412&ppid=550726&vpid=17812760&ct=offers,
4,08051A220KAT2A,AVX,08051A220KAT2A,https://octopart.com/08051a220kat2a-avx-195770,0805 22pF,,"Duplexing, TVS",8,478-3736-1-ND,08051A220KAT2A,Cut Tape,,0.2956569,0.26877900000000005,7874,0,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c54466&sid=459&ppid=195770&vpid=1765652&ct=offers,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0b25128&sid=2401&ppid=195770&vpid=37768776&ct=offers,Quest,08051A220KAT2A,,0.141108975,0.5644359,1.1288718,21465,1,https://octopart.com/click/track?ak=39ac400e&sig=0e2499e&sid=2412&ppid=195770&vpid=21054536&ct=offers,
1,TC33X-2-101E,Bourns,TC33X-2-101E,https://octopart.com/tc33x-2-101e-bourns-84428,Trimmer,,"Duplexing, TVS",2,TC33X-101ECT-ND,TC33X-2-101E,Cut Tape,,0.37629060000000003,0.3494127,881,3790,1,1,https://octopart.com/click/track?ak=39ac400e&sig=061c1ba&sid=459&ppid=84428&vpid=1341011&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0a80c13&sid=2401&ppid=84428&vpid=37636083&ct=offers,"Arrow Electronics, Inc.",TC33X-2-101E,Cut Tape,0.331942065,0.331942065,0.66388413,3250,1,https://octopart.com/click/track?ak=39ac400e&sig=0a2867e&sid=1106&ppid=84428&vpid=473165324&ct=offers,
4,CRCW08051M80FKEA,Vishay,CRCW08051M80FKEA,https://octopart.com/crcw08051m80fkea-vishay-39845440,0805 1.8M Ohm,,"Duplexing, TVS",8,541-1.80MCCT-ND,CRCW08051M80FKEA,Cut Tape,,0.13438950000000002,0.13438950000000002,6837,69229,1,1,https://octopart.com/click/track?ak=39ac400e&sig=05e2d6b&sid=459&ppid=39845440&vpid=115224996&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=00debd8&sid=2401&ppid=39845440&vpid=116516750&ct=offers,"Arrow Electronics, Inc.",CRCW08051M80FKEA,Cut Tape,0.0057787485,0.023114994,0.046229988,5000,1,https://octopart.com/click/track?ak=39ac400e&sig=032f074&sid=1106&ppid=39845440&vpid=473524320&ct=offers,
1,MM3Z3V3T1G,ON Semiconductor,MM3Z3V3T1G,https://octopart.com/mm3z3v3t1g-on+semiconductor-710974,SOD-323 3v3 Zener,,"Duplexing, TVS",2,MM3Z3V3T1GOSCT-ND,MM3Z3V3T1G,Cut Tape,,0.21502320000000003,0.18814530000000002,72251,120593,1,1,https://octopart.com/click/track?ak=39ac400e&sig=01cd7ea&sid=459&ppid=710974&vpid=37176542&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=01e586b&sid=2401&ppid=710974&vpid=44810565&ct=offers,Rochester Electronics,MM3Z3V3T1G,,0.026877900000000003,0.026877900000000003,0.053755800000000006,11175,1,https://octopart.com/click/track?ak=39ac400e&sig=04ab172&sid=5832&ppid=710974&vpid=84988874&ct=offers,
1,5-1814400-1,TE Connectivity,5-1814400-1,https://octopart.com/5-1814400-1-te+connectivity-40580220,SMA Connector,,"Duplexing, TVS",2,A97593-ND,5-1814400-1,Box,Bulk,3.50756595,3.42693225,40550,11625,1,1,https://octopart.com/click/track?ak=39ac400e&sig=01ff02e&sid=459&ppid=40580220&vpid=198636084&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=00062b3&sid=2401&ppid=40580220&vpid=165556829&ct=offers,Onlinecomponents.com,5-1814400-1,Bulk,2.35181625,2.35181625,4.7036325,2502,1,https://octopart.com/click/track?ak=39ac400e&sig=0c22af1&sid=2429&ppid=40580220&vpid=191126428&ct=offers,
2,68001-112HLF,FCI,68001-112HLF,https://octopart.com/68001-112hlf-fci-40642232,Header Pins (x12) ( 30 Needed),,Debugging,4,609-3275-ND,68001-112HLF,Bag,Bulk,0.9004096500000001,0.9138486000000001,3495,11906,1,1,https://octopart.com/click/track?ak=39ac400e&sig=04ad82b&sid=459&ppid=40642232&vpid=531331178&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0fdfe8f&sid=2401&ppid=40642232&vpid=165360718&ct=offers,Onlinecomponents.com,68001-112HLF,Bulk,0.490521675,0.98104335,1.9620867,2000,1,https://octopart.com/click/track?ak=39ac400e&sig=08a784f&sid=2429&ppid=40642232&vpid=472616851&ct=offers,
6,68786-102LF,FCI,68786-102LF,https://octopart.com/68786-102lf-fci-39451696,Header Jumper,,Debugging,12,609-3121-ND,68786-102LF,Bulk,Bulk,0.25802784,0.19352088,38720,37359,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c848da&sid=459&ppid=39451696&vpid=531334384&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=038a594&sid=2401&ppid=39451696&vpid=115832011&ct=offers,Onlinecomponents.com,68786-102LF,Bulk,0.12632613,0.75795678,1.51591356,29400,1,https://octopart.com/click/track?ak=39ac400e&sig=04a20fd&sid=2429&ppid=39451696&vpid=472616973&ct=offers,
4,RC0805FR-070RL,Yageo,RC0805FR-070RL,https://octopart.com/rc0805fr-070rl-yageo-9293404,0805 0Ohm,,Misc.,8,311-0.0CRCT-ND,RC0805FR-070RL,Cut Tape,,0.13438950000000002,0.14782845,1976580,575337,1,1,https://octopart.com/click/track?ak=39ac400e&sig=09e521f&sid=459&ppid=9293404&vpid=45700209&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=08e11ce&sid=2401&ppid=9293404&vpid=202863797&ct=offers,"Arrow Electronics, Inc.",RC0805FR-070RL,Cut Tape,0.003494127,0.013976508,0.027953016,2587,1,https://octopart.com/click/track?ak=39ac400e&sig=0323975&sid=1106&ppid=9293404&vpid=473551009&ct=offers,
